question,answerKey,predicted,correct,confidence,all_probs,all_scores
"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",A,C,False,0.412300192919414,"{'A': 0.07038572531231893, 'B': 0.1003815650440109, 'C': 0.412300192919414, 'D': 0.33878807285637336, 'E': 0.07814444386788283}","{'A': -3.929615020751953, 'B': -3.574626922607422, 'C': -2.161853790283203, 'D': -2.3582307398319244, 'E': -3.8250465393066406}"
Sammy wanted to go to where the people were.  Where might he go?,B,B,True,0.22938940660871457,"{'A': 0.11700572717135416, 'B': 0.22938940660871457, 'C': 0.20328580149761355, 'D': 0.22869926074141514, 'E': 0.22161980398090272}","{'A': -1.7956475168466568, 'B': -1.1224493756890297, 'C': -1.2432575225830078, 'D': -1.125462532043457, 'E': -1.156907081604004}"
To locate a choker not located in a jewelry box or boutique where would you go?,A,C,False,0.3314156099303647,"{'A': 0.27460799518695683, 'B': 0.04171940192791531, 'C': 0.3314156099303647, 'D': 0.25920139615260174, 'E': 0.0930555968021614}","{'A': -0.5263634920120239, 'B': -2.4107418060302734, 'C': -0.3383348938077688, 'D': -0.5841027498245239, 'E': -1.608510971069336}"
Google Maps and other highway and street GPS services have replaced what?,D,A,False,0.38373631782536083,"{'A': 0.38373631782536083, 'B': 0.24292734630816995, 'C': 0.06628783121008719, 'D': 0.24726697720905116, 'E': 0.059781527447330805}","{'A': 0.5268643368035555, 'B': 0.06967110466212034, 'C': -1.2290849685668945, 'D': 0.08737732470035553, 'E': -1.3323945999145508}"
"The fox walked from the city into the forest, what was it looking for?",C,D,False,0.344688140444058,"{'A': 0.20361572358092797, 'B': 0.23096884608435236, 'C': 0.06572680387657037, 'D': 0.344688140444058, 'E': 0.15500048601409128}","{'A': 0.26014649868011475, 'B': 0.3861948251724243, 'C': -0.8705811947584152, 'D': 0.7865520566701889, 'E': -0.01265975832939148}"
What home entertainment equipment requires cable?,D,D,True,0.795727267216708,"{'A': 0.11089934534566373, 'B': 0.04345052637642402, 'C': 0.025612589620658172, 'D': 0.795727267216708, 'E': 0.02431027144054615}","{'A': -0.9143924713134766, 'B': -1.8513924963772297, 'C': -2.3799314498901367, 'D': 1.0562410354614258, 'E': -2.4321165084838867}"
"The only baggage the woman checked was a drawstring bag, where was she heading with it?",E,C,False,0.44063003824636476,"{'A': 0.09034733523965875, 'B': 0.07453147779963541, 'C': 0.44063003824636476, 'D': 0.0453621325712567, 'E': 0.3491290161430843}","{'A': -1.4524861052632332, 'B': -1.6449260711669922, 'C': 0.13205797970294952, 'D': -2.141469955444336, 'E': -0.10070610046386719}"
"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",B,C,False,0.5444230973349319,"{'A': 0.0417355780493144, 'B': 0.1476373312399518, 'C': 0.5444230973349319, 'D': 0.16487987457718373, 'E': 0.10132411879861818}","{'A': -3.1195030212402344, 'B': -1.8560981750488281, 'C': -0.5511302798986435, 'D': -1.7456398010253906, 'E': -2.232532501220703}"
What do people use to absorb extra ink from a fountain pen?,E,C,False,0.45543355888086057,"{'A': 0.07408109779142484, 'B': 0.23611932982152023, 'C': 0.45543355888086057, 'D': 0.08663482381495724, 'E': 0.14773118969123714}","{'A': -1.6323031298816204, 'B': -0.4731262270361185, 'C': 0.1837863028049469, 'D': -1.4757616817951202, 'E': -0.9420692026615143}"
Where is a business restaurant likely to be located?,D,B,False,0.33741126451973147,"{'A': 0.0502660935107219, 'B': 0.33741126451973147, 'C': 0.18717772147325573, 'D': 0.24951014182953238, 'E': 0.17563477866675856}","{'A': -1.9612493515014648, 'B': -0.057277560234069824, 'C': -0.6465215682983398, 'D': -0.35908055305480957, 'E': -0.7101733982563019}"
