question,answerKey,predicted,correct,confidence,all_probs,all_scores
"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",A,A,True,0.9288707971572876,"{'A': 0.9288707971572876, 'B': 0.05070009082555771, 'C': 0.00012621488713193685, 'D': 0.011439293622970581, 'E': 0.008863608352839947}","{'A': 13.605973482131958, 'B': 10.697931289672852, 'C': 4.702234268188477, 'D': 9.209058046340942, 'E': 8.953957557678223}"
Sammy wanted to go to where the people were.  Where might he go?,B,D,False,0.38728249073028564,"{'A': 0.02487913705408573, 'B': 0.0220125000923872, 'C': 0.2992861270904541, 'D': 0.38728249073028564, 'E': 0.2665397524833679}","{'A': 3.08163551799953, 'B': 2.959216248244047, 'C': 5.569005951285362, 'D': 5.826760292053223, 'E': 5.453129080124199}"
To locate a choker not located in a jewelry box or boutique where would you go?,A,B,False,0.6552071571350098,"{'A': 0.01034584455192089, 'B': 0.6552071571350098, 'C': 0.0028060220647603273, 'D': 0.014571701176464558, 'E': 0.31706932187080383}","{'A': 6.131678879261017, 'B': 10.280045509338379, 'C': 4.8268618532838445, 'D': 6.47417557053268, 'E': 9.554214000701904}"
Google Maps and other highway and street GPS services have replaced what?,D,E,False,0.9492397308349609,"{'A': 0.04324590042233467, 'B': 0.0012002300936728716, 'C': 0.003398827975615859, 'D': 0.0029152855277061462, 'E': 0.9492397308349609}","{'A': 6.719894758891314, 'B': 3.135505704947112, 'C': 4.176423072814941, 'D': 4.0229601609753445, 'E': 9.808653831481934}"
"The fox walked from the city into the forest, what was it looking for?",C,D,False,0.7432131767272949,"{'A': 0.12363093346357346, 'B': 0.059604890644550323, 'C': 0.038089361041784286, 'D': 0.7432131767272949, 'E': 0.03546156734228134}","{'A': 5.395735236505667, 'B': 4.6661722511053085, 'C': 4.218369580805302, 'D': 7.1894172709435225, 'E': 4.1468839584849775}"
What home entertainment equipment requires cable?,D,A,False,0.8845767974853516,"{'A': 0.8845767974853516, 'B': 0.012669877149164677, 'C': 0.020934686064720154, 'D': 0.0212140753865242, 'E': 0.06060454621911049}","{'A': 10.945153251290321, 'B': 6.699271173973102, 'C': 7.201451301574707, 'D': 7.2147088050842285, 'E': 8.264413356781006}"
"The only baggage the woman checked was a drawstring bag, where was she heading with it?",E,D,False,0.8256422877311707,"{'A': 0.005538774188607931, 'B': 0.06517115980386734, 'C': 0.009071444161236286, 'D': 0.8256422877311707, 'E': 0.0945763811469078}","{'A': 5.622469458729029, 'B': 8.08771276473999, 'C': 6.115827362984419, 'D': 10.626858234405518, 'E': 8.460103511810303}"
"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",B,B,True,0.6482476592063904,"{'A': 0.049811605364084244, 'B': 0.6482476592063904, 'C': 0.09145667403936386, 'D': 0.09728895127773285, 'E': 0.11319518834352493}","{'A': 7.46357536315918, 'B': 10.029600620269775, 'C': 8.07119283825159, 'D': 8.133012294769287, 'E': 8.284441471099854}"
What do people use to absorb extra ink from a fountain pen?,E,C,False,0.8227237462997437,"{'A': 0.1630171835422516, 'B': 0.0002766179677564651, 'C': 0.8227237462997437, 'D': 0.008748198859393597, 'E': 0.005234245210886002}","{'A': 6.8369807144626975, 'B': 0.45800737596482577, 'C': 8.455745281651616, 'D': 3.911973267327994, 'E': 3.3983480886381585}"
Where is a business restaurant likely to be located?,D,A,False,0.9488596320152283,"{'A': 0.9488596320152283, 'B': 0.018837017938494682, 'C': 0.018176401033997536, 'D': 0.002041923115029931, 'E': 0.012084939517080784}","{'A': 11.341992855072021, 'B': 7.422556281089783, 'C': 7.386856555938721, 'D': 5.200624585151672, 'E': 6.978692691773176}"
Where do you put your grapes just before checking out?,B,A,False,0.9510395526885986,"{'A': 0.9510395526885986, 'B': 0.0018380711553618312, 'C': 0.04603119194507599, 'D': 0.0006867308984510601, 'E': 0.0004044670786242932}","{'A': 11.397451877593994, 'B': 5.148612396791577, 'C': 8.369214894250035, 'D': 4.164082996547222, 'E': 3.634710907936096}"
"Before getting a divorce, what did the wife feel who was doing all the work?",C,B,False,0.5120383501052856,"{'A': 0.002488118363544345, 'B': 0.5120383501052856, 'C': 0.07595188915729523, 'D': 0.04201648011803627, 'E': 0.36750516295433044}","{'A': 3.671462059020996, 'B': 8.998334884643555, 'C': 7.090035438537598, 'D': 6.497997283935547, 'E': 8.666672706604004}"
Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,C,A,False,0.46982401609420776,"{'A': 0.46982401609420776, 'B': 0.03233618661761284, 'C': 0.02339148335158825, 'D': 0.07367272675037384, 'E': 0.40077558159828186}","{'A': 7.539117144420743, 'B': 4.862946134060621, 'C': 4.539131164550781, 'D': 5.686391830444336, 'E': 7.380160691216588}"
James was cooling off two quickly.  He would die if he didn't find some way to stop what?,A,D,False,0.9972589015960693,"{'A': 0.0009417450055480003, 'B': 0.0006631481228396297, 'C': 0.00017297454178333282, 'D': 0.9972589015960693, 'E': 0.000963208032771945}","{'A': 4.784051403849541, 'B': 4.433315277099609, 'C': 3.089461326599121, 'D': 11.749082803726196, 'E': 4.80658641224727}"
"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",C,A,False,0.30893462896347046,"{'A': 0.30893462896347046, 'B': 0.1818082630634308, 'C': 0.2703716456890106, 'D': 0.0002280544867971912, 'E': 0.23865742981433868}","{'A': 8.758589744567871, 'B': 8.228413105010986, 'C': 8.62525749206543, 'D': 1.5472892962861806, 'E': 8.500489234924316}"
"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",D,C,False,0.7100421786308289,"{'A': 0.27220606803894043, 'B': 6.571827543666586e-05, 'C': 0.7100421786308289, 'D': 0.01642017997801304, 'E': 0.0012658110354095697}","{'A': 9.477507580071688, 'B': 1.1485705282830168, 'C': 10.436272859573364, 'D': 6.669459448812025, 'E': 4.106661538942717}"
What is it called when you slowly cook using a grill?,E,A,False,0.9643871784210205,"{'A': 0.9643871784210205, 'B': 0.03537391498684883, 'C': 4.661572529585101e-05, 'D': 0.00013068878615740687, 'E': 6.165516970213503e-05}","{'A': 10.05142879486084, 'B': 6.74591064453125, 'C': 0.11411856886206806, 'D': 1.144999955072611, 'E': 0.39373769506588974}"
What type of person typically contracts illness?,D,D,True,0.3781987428665161,"{'A': 0.3454824686050415, 'B': 0.17811307311058044, 'C': 0.08972445875406265, 'D': 0.3781987428665161, 'E': 0.008481291122734547}","{'A': 6.031857013702393, 'B': 5.369333744049072, 'C': 4.683658521622419, 'D': 6.122335123829544, 'E': 2.3247777486722043}"
Where would you expect to find a pizzeria while shopping?,D,C,False,0.8968915939331055,"{'A': 0.0022642770782113075, 'B': 0.0024268897250294685, 'C': 0.8968915939331055, 'D': 0.06155078485608101, 'E': 0.03686649724841118}","{'A': 4.761273996380623, 'B': 4.830628871917725, 'C': 10.742953032720834, 'D': 8.063880561850965, 'E': 7.551321521401405}"
"When eating everything on the tasting menu, what does one tend to feel?",B,B,True,0.6437057852745056,"{'A': 0.16940419375896454, 'B': 0.6437057852745056, 'C': 0.0012895532418042421, 'D': 0.001369542209431529, 'E': 0.18423090875148773}","{'A': 10.860987782478333, 'B': 12.195941507816315, 'C': 5.982996091246605, 'D': 6.043176651000977, 'E': 10.944890022277832}"
What does playing soccer for a long time lead to?,E,A,False,0.6788279414176941,"{'A': 0.6788279414176941, 'B': 0.20150454342365265, 'C': 0.07236012816429138, 'D': 0.04629970341920853, 'E': 0.0010077162878587842}","{'A': 10.87475323677063, 'B': 9.660197496414185, 'C': 8.636040687561035, 'D': 8.189520835876465, 'E': 4.362072005867958}"
Which entrance would you use if you do not want to use the back entrance?,B,E,False,0.8733279705047607,"{'A': 0.054695241153240204, 'B': 0.005318938288837671, 'C': 0.06608108431100845, 'D': 0.0005767521797679365, 'E': 0.8733279705047607}","{'A': 9.83271837234497, 'B': 7.5022149085998535, 'C': 10.021823406219482, 'D': 5.2805986404418945, 'E': 12.60325288772583}"
You can share files with someone if you have a connection to a what?,D,B,False,0.5595117211341858,"{'A': 0.09643292427062988, 'B': 0.5595117211341858, 'C': 0.1785885989665985, 'D': 0.07263892143964767, 'E': 0.09282777458429337}","{'A': 4.986289978027344, 'B': 6.7445068359375, 'C': 5.602527141571045, 'D': 4.702943108975887, 'E': 4.948188205249608}"
"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",E,E,True,0.908086895942688,"{'A': 0.005795560777187347, 'B': 0.00020768855756614357, 'C': 3.265064879087731e-05, 'D': 0.08587715029716492, 'E': 0.908086895942688}","{'A': 8.145573616027832, 'B': 4.816765608265996, 'C': 2.9665908813476562, 'D': 10.841399192810059, 'E': 13.199821472167969}"
"Sean was lying about the body, but he was very scared.  He constantly worried about what?",C,B,False,0.7491987943649292,"{'A': 0.08754878491163254, 'B': 0.7491987943649292, 'C': 0.11954022198915482, 'D': 0.0039131431840360165, 'E': 0.039799001067876816}","{'A': 4.804270334852238, 'B': 6.95107839256525, 'C': 5.115726780612022, 'D': 1.6964149475097656, 'E': 4.015915870666504}"
"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",D,D,True,0.9542363882064819,"{'A': 1.0994870791591893e-07, 'B': 8.113912917906418e-05, 'C': 0.021093029528856277, 'D': 0.9542363882064819, 'E': 0.024589328095316887}","{'A': -2.997012138366699, 'B': 3.6068943062176304, 'C': 9.16742753982544, 'D': 12.97939545661211, 'E': 9.320797085762024}"
"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",D,E,False,0.8102752566337585,"{'A': 0.04241287335753441, 'B': 0.07553201168775558, 'C': 0.029925398528575897, 'D': 0.041854456067085266, 'E': 0.8102752566337585}","{'A': 5.444220066070557, 'B': 6.021324433386326, 'C': 5.095475673675537, 'D': 5.430966377258301, 'E': 8.394142150878906}"
Too many people want exotic snakes.  The demand is driving what to carry them?,D,E,False,0.9580086469650269,"{'A': 0.02311892993748188, 'B': 0.003537266980856657, 'C': 0.0002757731999736279, 'D': 0.015059435740113258, 'E': 0.9580086469650269}","{'A': 7.318112373352051, 'B': 5.440814971923828, 'C': 2.8892843026524133, 'D': 6.889465227723122, 'E': 11.042317390441895}"
"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",E,E,True,0.6620752811431885,"{'A': 0.07357991486787796, 'B': 0.0035532887559384108, 'C': 0.21867579221725464, 'D': 0.04211568087339401, 'E': 0.6620752811431885}","{'A': 5.715220548212528, 'B': 2.6847218070179224, 'C': 6.804438591003418, 'D': 5.157268509268761, 'E': 7.912227466702461}"
To prevent any glare during the big football game he made sure to clean the dust of his what?,A,E,False,0.692794144153595,"{'A': 0.0470338836312294, 'B': 0.23174867033958435, 'C': 0.01004873774945736, 'D': 0.018374521285295486, 'E': 0.692794144153595}","{'A': 6.7384867668151855, 'B': 8.333271980285645, 'C': 5.195065498352051, 'D': 5.798583581300381, 'E': 9.428351402282715}"
"I have something in my head I want to share, what ways can I do that?",C,C,True,0.7696219086647034,"{'A': 2.665293550307979e-06, 'B': 0.22442196309566498, 'C': 0.7696219086647034, 'D': 0.00013421867333818227, 'E': 0.005819214042276144}","{'A': 1.5011898123969636, 'B': 12.84215908497572, 'C': 14.074530601501465, 'D': 5.420346546918154, 'E': 9.189796209335327}"
"He wanted a house that was gated off from other places, where should he start looking?",B,E,False,0.35843411087989807,"{'A': 0.3394777178764343, 'B': 0.2365129441022873, 'C': 0.05277020111680031, 'D': 0.012804974801838398, 'E': 0.35843411087989807}","{'A': 9.20378303527832, 'B': 8.842377662658691, 'C': 7.342321395874023, 'D': 5.92620849609375, 'E': 9.258119583129883}"
Where in Southern Europe would you find many canals?,D,D,True,0.9199617505073547,"{'A': 0.001140569569543004, 'B': 7.077018381096423e-05, 'C': 0.04448317736387253, 'D': 0.9199617505073547, 'E': 0.03434377163648605}","{'A': 3.6085860257444438, 'B': 0.828741195553448, 'C': 7.272169667296112, 'D': 10.301391067914665, 'E': 7.013479232788086}"
What would a camper need to do before he or she can start cooking food?,D,D,True,0.605964720249176,"{'A': 0.005360351409763098, 'B': 0.3696487843990326, 'C': 0.0030328528955578804, 'D': 0.605964720249176, 'E': 0.015993326902389526}","{'A': 4.813080191612244, 'B': 9.046604305505753, 'C': 4.243554536874096, 'D': 9.540872879326344, 'E': 5.906222539022565}"
What could happen to a paper if you leave it outside even if it does not move?,C,A,False,0.4612714648246765,"{'A': 0.4612714648246765, 'B': 0.10114377737045288, 'C': 0.025294965133070946, 'D': 0.4122636020183563, 'E': 2.6256673663738184e-05}","{'A': 9.262276204302907, 'B': 7.744832992553711, 'C': 6.358895120521387, 'D': 9.149953007698059, 'E': -0.5115452155844953}"
"Mark's semen was very thick, but after his vasectomy it was also what?",D,E,False,0.37775564193725586,"{'A': 0.0203046016395092, 'B': 0.23809145390987396, 'C': 0.2583664655685425, 'D': 0.10548179596662521, 'E': 0.37775564193725586}","{'A': 7.622858047485352, 'B': 10.084665775299072, 'C': 10.166389465332031, 'D': 9.270548820495605, 'E': 10.546258333139122}"
What is a great place to lay in the sun?,D,D,True,0.7009723782539368,"{'A': 0.0002953760267701, 'B': 0.00407988578081131, 'C': 0.0005166223854757845, 'D': 0.7009723782539368, 'E': 0.2941356897354126}","{'A': 2.6423425525426865, 'B': 5.267917633056641, 'C': 3.2014054656028748, 'D': 10.41431713104248, 'E': 9.545889854431152}"
Where would you find a seafood restaurant in the east coast of North America?,A,E,False,0.8405407071113586,"{'A': 0.056847501546144485, 'B': 0.0019270750926807523, 'C': 0.09316487610340118, 'D': 0.007519805803894997, 'E': 0.8405407071113586}","{'A': 7.249024195189122, 'B': 3.864655275363475, 'C': 7.743023104965687, 'D': 5.226192481815815, 'E': 9.942698001861572}"
The president is the leader of what institution?,E,E,True,0.49665993452072144,"{'A': 0.005864766426384449, 'B': 0.058351315557956696, 'C': 0.051299888640642166, 'D': 0.387824147939682, 'E': 0.49665993452072144}","{'A': 3.4911792334605707, 'B': 5.788698196411133, 'C': 5.659904956817627, 'D': 7.68276834487915, 'E': 7.930121898651123}"
Sitting to close while watching TV can cause what sort of pain?,D,D,True,0.3555019497871399,"{'A': 0.19700877368450165, 'B': 0.0006506970967166126, 'C': 0.13703742623329163, 'D': 0.3555019497871399, 'E': 0.3098011910915375}","{'A': 8.758830800652504, 'B': 3.0458716824359726, 'C': 8.39583671092987, 'D': 9.34911298751831, 'E': 9.211513042449951}"
Where is a bald eagle safe?,D,B,False,0.5868699550628662,"{'A': 0.0005861992249265313, 'B': 0.5868699550628662, 'C': 0.11131317913532257, 'D': 0.0670735165476799, 'E': 0.23415713012218475}","{'A': 2.96312003955245, 'B': 9.872018605470657, 'C': 8.209563032665756, 'D': 7.70300486125052, 'E': 8.953207969665527}"
"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",D,E,False,0.3700971305370331,"{'A': 0.16395403444766998, 'B': 0.19225086271762848, 'C': 0.02132253348827362, 'D': 0.25237542390823364, 'E': 0.3700971305370331}","{'A': 8.263803482055664, 'B': 8.423018455505371, 'C': 6.223981857299805, 'D': 8.69513463973999, 'E': 9.077982902526855}"
What kind of driving leads to accidents?,B,E,False,0.4124581217765808,"{'A': 0.33477264642715454, 'B': 0.19552533328533173, 'C': 0.000701378972735256, 'D': 0.05654255673289299, 'E': 0.4124581217765808}","{'A': 9.3140549659729, 'B': 8.776293277740479, 'C': 3.1458959579467773, 'D': 7.5355963706970215, 'E': 9.5227370262146}"
